starttime,detector_id,speed
2018-05-05 00:30:00-07,101138,59.2
2018-05-05 00:30:00-07,101139,61.96
2018-05-05 00:30:00-07,101140,59.33
2018-05-05 00:30:00-07,101141,61.25
2018-05-05 00:30:00-07,101142,61.56
2018-05-05 00:30:00-07,101143,61
2018-05-05 00:30:00-07,101144,58.25
2018-05-05 00:30:00-07,101145,64.38
2018-05-05 00:30:00-07,101150,58.93
2018-05-05 00:30:00-07,101151,62.2
2018-05-05 00:30:00-07,101152,69.29
2018-05-05 00:30:00-07,101153,62.22
2018-05-05 00:30:00-07,101154,64.17
2018-05-05 00:30:00-07,101155,68.23
2018-05-05 00:30:00-07,101156,61
2018-05-05 00:30:00-07,101157,60.8
2018-05-05 00:30:00-07,101158,64.44
2018-05-05 00:30:00-07,101160,62
2018-05-05 00:30:00-07,101161,62.25
2018-05-05 00:30:00-07,101162,48.5
2018-05-05 00:30:00-07,101163,56.5
2018-05-05 00:30:00-07,101164,62.67
2018-05-05 00:30:00-07,101165,61
2018-05-05 00:30:00-07,101166,60.05
2018-05-05 00:30:00-07,101167,58
2018-05-05 00:30:00-07,101168,61.75
2018-05-05 00:30:00-07,101169,63.88
2018-05-05 00:30:00-07,101170,74
2018-05-05 00:30:00-07,101171,59.71
2018-05-05 00:30:00-07,101172,62.2
2018-05-05 00:30:00-07,101173,68.25
2018-05-05 00:30:00-07,101174,62
2018-05-05 00:30:00-07,101175,65.75
2018-05-05 00:30:00-07,101176,68.5
2018-05-05 00:30:00-07,101177,63.33
2018-05-05 00:30:00-07,101178,68.4
2018-05-05 00:30:00-07,101179,69.5
2018-05-05 00:30:00-07,101180,65.38
2018-05-05 00:30:00-07,101181,60.62
2018-05-05 00:30:00-07,101182,61
2018-05-05 00:30:00-07,101183,65.67
2018-05-05 00:30:00-07,101184,61.08
2018-05-05 00:30:00-07,101185,66.5
2018-05-05 00:30:00-07,101186,58.25
2018-05-05 00:30:00-07,101187,62
2018-05-05 00:35:00-07,100891,53.23
2018-05-05 00:35:00-07,100892,63.1
2018-05-05 00:35:00-07,100893,59.35
2018-05-05 00:35:00-07,100895,47.63
2018-05-05 00:35:00-07,100897,54.7
2018-05-05 00:35:00-07,100898,60.16
2018-05-05 00:35:00-07,100899,62.89
2018-05-05 00:35:00-07,100900,63.63
2018-05-05 00:35:00-07,100901,61.76
2018-05-05 00:35:00-07,100902,64.33
2018-05-05 00:35:00-07,100903,52.37
2018-05-05 00:35:00-07,101137,53.75
2018-05-05 00:35:00-07,101138,54.83
2018-05-05 00:35:00-07,101139,59.89
2018-05-05 00:35:00-07,101140,56.67
2018-05-05 00:35:00-07,101141,58.32
2018-05-05 00:35:00-07,101142,62
2018-05-05 00:35:00-07,101143,57.19
2018-05-05 00:35:00-07,101144,59.22
2018-05-05 00:35:00-07,101145,61.14
2018-05-05 00:35:00-07,101150,59.31
2018-05-05 00:35:00-07,101151,62.03
2018-05-05 00:35:00-07,101152,66
2018-05-05 00:35:00-07,101153,62.53
2018-05-05 00:35:00-07,101154,61.09
2018-05-05 00:35:00-07,101155,64.4
2018-05-05 00:35:00-07,101156,60.13
2018-05-05 00:35:00-07,101157,60.94
2018-05-05 00:35:00-07,101158,62.35
2018-05-05 00:35:00-07,101160,61.41
2018-05-05 00:35:00-07,101161,64.2
2018-05-05 00:35:00-07,101162,47
2018-05-05 00:35:00-07,101163,56.2
2018-05-05 00:35:00-07,101164,61.57
2018-05-05 00:35:00-07,101165,57
2018-05-05 00:35:00-07,101166,61.47
2018-05-05 00:35:00-07,101167,63.5
2018-05-05 00:35:00-07,101168,62.25
2018-05-05 00:35:00-07,101169,65.24
2018-05-05 00:35:00-07,101170,74.4
2018-05-05 00:35:00-07,101171,59.38
2018-05-05 00:35:00-07,101172,62.25
2018-05-05 00:35:00-07,101173,67.75
2018-05-05 00:35:00-07,101174,63
2018-05-05 00:35:00-07,101175,65.94
2018-05-05 00:35:00-07,101176,70
2018-05-05 00:35:00-07,101177,59.5
2018-05-05 00:35:00-07,101178,67.67
2018-05-05 00:35:00-07,101179,70
2018-05-05 00:35:00-07,101180,58
2018-05-05 00:35:00-07,101181,64.21
2018-05-05 00:35:00-07,101182,64.5
2018-05-05 00:35:00-07,101183,68
