Actual Clear Date Time,Beginning Latitude,Beginning Longitude,Closure Duration,Closure Involved Flag,Command Area District Identifier,Create Date Time,Direction,Ending Latitude,Ending Longitude,Event Duration,Event From Mile Point Number,Event Identifier,Event Planned Flag,Event Sub Type Name,Event To Milepoint Number,Highway Name,Is Re Opened Flag,LRM End Point,LRM,Last Close Date Time,Number of Records,Original Close Date Time,Planned Event End Date,Planned Event Start Date,Recovery Begin Time,Road Identifier,Roadway Clearance Duration,Route Number,Travel Lanes Affected Count,Weekday
8/5/2018 11:18:39 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:17:33 AM,WB,,,67,31.3,18T064624,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:18:40 AM,1,8/5/2018 11:18:40 AM,,,,2,,I-84,,Sunday
8/5/2018 11:19:11 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:16:33 AM,WB,,,158,31.3,18T064622,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:19:11 AM,1,8/5/2018 11:19:11 AM,,,,2,,I-84,,Sunday
8/5/2018 11:16:00 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:15:32 AM,WB,,,28,31.3,18T064621,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:16:00 AM,1,8/5/2018 11:16:00 AM,,,,2,,I-84,,Sunday
8/5/2018 11:16:09 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:14:54 AM,WB,,,75,31.3,18T064620,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:16:09 AM,1,8/5/2018 11:16:09 AM,,,,2,,I-84,,Sunday
8/5/2018 11:14:43 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:13:32 AM,WB,,,71,31.3,18T064619,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:14:43 AM,1,8/5/2018 11:14:43 AM,,,,2,,I-84,,Sunday
8/5/2018 11:14:54 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:12:32 AM,WB,,,142,31.3,18T064617,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:14:54 AM,1,8/5/2018 11:14:54 AM,,,,2,,I-84,,Sunday
8/5/2018 11:15:04 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:11:32 AM,WB,,,212,31.3,18T064616,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:15:04 AM,1,8/5/2018 11:15:04 AM,,,,2,,I-84,,Sunday
8/5/2018 11:15:15 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:10:33 AM,WB,,,283,31.3,18T064615,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:15:16 AM,1,8/5/2018 11:15:16 AM,,,,2,,I-84,,Sunday
8/5/2018 11:15:26 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:09:32 AM,WB,,,354,31.3,18T064614,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:15:26 AM,1,8/5/2018 11:15:26 AM,,,,2,,I-84,,Sunday
8/5/2018 11:15:39 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:08:32 AM,WB,,,427,31.3,18T064613,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:15:39 AM,1,8/5/2018 11:15:39 AM,,,,2,,I-84,,Sunday
8/5/2018 11:15:49 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:07:32 AM,WB,,,497,31.3,18T064612,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:15:49 AM,1,8/5/2018 11:15:49 AM,,,,2,,I-84,,Sunday
8/5/2018 11:16:18 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:06:33 AM,WB,,,585,31.3,18T064611,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:16:18 AM,1,8/5/2018 11:16:18 AM,,,,2,,I-84,,Sunday
8/5/2018 11:10:32 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:05:41 AM,WB,,,291,31.3,18T064610,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:10:32 AM,1,8/5/2018 11:10:32 AM,,,,2,,I-84,,Sunday
8/5/2018 11:10:59 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:04:32 AM,WB,,,387,31.3,18T064609,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:10:59 AM,1,8/5/2018 11:10:59 AM,,,,2,,I-84,,Sunday
8/5/2018 11:13:31 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:03:32 AM,WB,,,599,31.3,18T064608,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:13:31 AM,1,8/5/2018 11:13:31 AM,,,,2,,I-84,,Sunday
8/5/2018 11:16:37 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:02:33 AM,WB,,,856,31.3,18T064607,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:16:49 AM,1,8/5/2018 11:16:49 AM,,,,2,,I-84,,Sunday
8/5/2018 11:17:43 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:01:34 AM,WB,,,969,31.3,18T064605,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:17:43 AM,1,8/5/2018 11:17:43 AM,,,,2,,I-84,,Sunday
8/5/2018 11:17:59 AM,45.57935,-122.11921,,False,2C,8/5/2018 11:00:32 AM,WB,,,1047,31.3,18T064603,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:17:59 AM,1,8/5/2018 11:17:59 AM,,,,2,,I-84,,Sunday
8/5/2018 11:04:48 AM,45.57935,-122.11921,,False,2C,8/5/2018 10:59:33 AM,WB,,,315,31.3,18T064600,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 11:04:48 AM,1,8/5/2018 11:04:48 AM,,,,2,,I-84,,Sunday
8/5/2018 10:59:05 AM,45.57935,-122.11921,,False,2C,8/5/2018 10:58:45 AM,WB,,,20,31.3,18T064599,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 10:59:05 AM,1,8/5/2018 10:59:05 AM,,,,2,,I-84,,Sunday
8/5/2018 10:58:03 AM,45.57935,-122.11921,,False,2C,8/5/2018 10:57:33 AM,WB,,,30,31.3,18T064598,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 10:58:03 AM,1,8/5/2018 10:58:03 AM,,,,2,,I-84,,Sunday
8/5/2018 10:57:16 AM,45.57935,-122.11921,,False,2C,8/5/2018 10:56:36 AM,WB,,,40,31.3,18T064595,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 10:57:16 AM,1,8/5/2018 10:57:16 AM,,,,2,,I-84,,Sunday
8/5/2018 10:57:33 AM,45.57935,-122.11921,,False,2C,8/5/2018 10:55:32 AM,WB,,,122,31.3,18T064594,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 10:57:34 AM,1,8/5/2018 10:57:34 AM,,,,2,,I-84,,Sunday
8/5/2018 10:58:42 AM,45.57935,-122.11921,,False,2C,8/5/2018 10:54:32 AM,WB,,,250,31.3,18T064593,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 10:58:42 AM,1,8/5/2018 10:58:42 AM,,,,2,,I-84,,Sunday
8/5/2018 10:14:06 AM,45.57935,-122.11921,,False,2C,8/5/2018 10:03:32 AM,WB,,,634,31.3,18T064581,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 10:14:06 AM,1,8/5/2018 10:14:06 AM,,,,2,,I-84,,Sunday
8/5/2018 10:03:52 AM,45.57935,-122.11921,,False,2C,8/5/2018 9:49:33 AM,WB,,,859,31.3,18T064578,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/5/2018 10:03:52 AM,1,8/5/2018 10:03:52 AM,,,,2,,I-84,,Sunday
7/29/2018 5:18:16 PM,45.57935,-122.11921,,False,2C,7/29/2018 5:12:33 PM,WB,,,343,31.3,18T062264,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/29/2018 5:18:16 PM,1,7/29/2018 5:18:16 PM,,,,2,,I-84,,Sunday
7/29/2018 2:55:40 PM,45.57935,-122.11921,,False,2C,7/29/2018 2:49:32 PM,WB,,,368,31.3,18T062218,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/29/2018 2:55:40 PM,1,7/29/2018 2:55:40 PM,,,,2,,I-84,,Sunday
7/29/2018 1:10:08 PM,45.57935,-122.11921,,False,2C,7/29/2018 1:00:34 PM,WB,,,574,31.3,18T062181,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/29/2018 1:10:08 PM,1,7/29/2018 1:10:08 PM,,,,2,,I-84,,Sunday
7/29/2018 10:19:04 AM,45.57935,-122.11921,,False,2C,7/29/2018 9:52:25 AM,WB,,,1599,31.3,18T062135,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/29/2018 10:19:04 AM,1,7/29/2018 10:19:04 AM,,,,2,,I-84,,Sunday
7/22/2018 10:19:17 PM,45.57935,-122.11921,,False,2C,7/22/2018 10:18:32 PM,WB,,,46,31.3,18T059669,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/22/2018 10:19:18 PM,1,7/22/2018 10:19:18 PM,,,,2,,I-84,,Sunday
7/22/2018 9:20:57 PM,45.57935,-122.11921,,False,2C,7/22/2018 9:19:32 PM,WB,,,85,31.3,18T059660,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/22/2018 9:20:57 PM,1,7/22/2018 9:20:57 PM,,,,2,,I-84,,Sunday
7/22/2018 8:21:20 PM,45.57935,-122.11921,,False,2C,7/22/2018 8:20:33 PM,WB,,,47,31.3,18T059650,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/22/2018 8:21:20 PM,1,7/22/2018 8:21:20 PM,,,,2,,I-84,,Sunday
7/22/2018 5:35:15 PM,45.57935,-122.11921,,False,2C,7/22/2018 5:34:33 PM,WB,,,42,31.3,18T059621,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/22/2018 5:35:15 PM,1,7/22/2018 5:35:15 PM,,,,2,,I-84,,Sunday
7/22/2018 4:52:56 PM,45.57935,-122.11921,,False,2C,7/22/2018 4:52:32 PM,WB,,,24,31.3,18T059606,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/22/2018 4:52:56 PM,1,7/22/2018 4:52:56 PM,,,,2,,I-84,,Sunday
7/22/2018 3:39:07 PM,45.57935,-122.11921,,False,2C,7/22/2018 3:38:32 PM,WB,,,35,31.3,18T059584,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/22/2018 3:39:07 PM,1,7/22/2018 3:39:07 PM,,,,2,,I-84,,Sunday
7/22/2018 2:58:31 PM,45.57935,-122.11921,,False,2C,7/22/2018 2:55:32 PM,WB,,,179,31.3,18T059566,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/22/2018 2:58:31 PM,1,7/22/2018 2:58:31 PM,,,,2,,I-84,,Sunday
7/22/2018 2:42:50 PM,45.57935,-122.11921,,False,2C,7/22/2018 2:39:32 PM,WB,,,198,31.3,18T059559,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/22/2018 2:42:50 PM,1,7/22/2018 2:42:50 PM,,,,2,,I-84,,Sunday
7/22/2018 1:45:32 PM,45.57935,-122.11921,,False,2C,7/22/2018 1:43:32 PM,WB,,,120,31.3,18T059543,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/22/2018 1:45:32 PM,1,7/22/2018 1:45:32 PM,,,,2,,I-84,,Sunday
7/22/2018 11:00:58 AM,45.57935,-122.11921,,False,2C,7/22/2018 10:42:54 AM,WB,,,1084,31.3,18T059494,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/22/2018 11:00:58 AM,1,7/22/2018 11:00:58 AM,,,,2,,I-84,,Sunday
7/15/2018 3:27:03 PM,45.57935,-122.11921,,False,2C,7/15/2018 3:10:32 PM,WB,,,991,31.3,18T057181,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/15/2018 3:27:03 PM,1,7/15/2018 3:27:03 PM,,,,2,,I-84,,Sunday
7/15/2018 3:11:20 PM,45.57935,-122.11921,,False,2C,7/15/2018 3:07:32 PM,WB,,,228,31.3,18T057176,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/15/2018 3:11:20 PM,1,7/15/2018 3:11:20 PM,,,,2,,I-84,,Sunday
7/15/2018 2:38:07 PM,45.57935,-122.11921,,False,2C,7/15/2018 2:34:32 PM,WB,,,215,31.3,18T057166,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/15/2018 2:38:07 PM,1,7/15/2018 2:38:07 PM,,,,2,,I-84,,Sunday
7/15/2018 2:39:27 PM,45.57935,-122.11921,,False,2C,7/15/2018 2:08:32 PM,WB,,,1855,31.3,18T057158,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/15/2018 2:39:27 PM,1,7/15/2018 2:39:27 PM,,,,2,,I-84,,Sunday
7/15/2018 2:38:18 PM,45.57935,-122.11921,,False,2C,7/15/2018 1:49:32 PM,WB,,,2926,31.3,18T057148,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/15/2018 2:38:18 PM,1,7/15/2018 2:38:18 PM,,,,2,,I-84,,Sunday
7/15/2018 2:56:57 PM,45.57935,-122.11921,,False,2C,7/15/2018 1:20:32 PM,WB,,,5785,31.3,18T057136,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/15/2018 2:56:57 PM,1,7/15/2018 2:56:57 PM,,,,2,,I-84,,Sunday
7/15/2018 12:51:22 PM,45.57935,-122.11921,,False,2C,7/15/2018 12:50:32 PM,WB,,,50,31.3,18T057129,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/15/2018 12:51:22 PM,1,7/15/2018 12:51:22 PM,,,,2,,I-84,,Sunday
7/8/2018 4:26:26 PM,45.57935,-122.11921,,False,2C,7/8/2018 2:59:32 PM,WB,,,5214,31.3,18T054680,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/8/2018 4:26:26 PM,1,7/8/2018 4:26:26 PM,,,,2,,I-84,,Sunday
